Location,ρ,N=11 (Time Saving),N=11 (MPRE),N=12 (Time Saving),N=12 (MPRE),N=13 (Time Saving),N=13 (MPRE),N=14 (Time Saving),N=14 (MPRE),N=15 (Time Saving),N=15 (MPRE)
St. Paul,0.1,48.163 ,0.066 ,91.409 ,0.102 ,98.393 ,0.097 ,99.454 ,0.103 ,99.893 ,0.119 
St. Paul,0.2,74.308 ,0.113 ,95.899 ,0.205 ,99.163 ,0.232 ,99.706 ,0.236 ,99.962 ,0.256 
St. Paul,0.3,70.902 ,0.135 ,95.550 ,0.248 ,99.028 ,0.316 ,99.763 ,0.338 ,99.955 ,0.354 
St. Paul,0.4,69.421 ,0.163 ,95.524 ,0.279 ,98.992 ,0.358 ,99.771 ,0.328 ,99.953 ,0.397 
St. Paul,0.5,68.504 ,0.179 ,95.512 ,0.275 ,99.000 ,0.345 ,99.768 ,0.375 ,99.955 ,0.471 
St. Paul,0.6,68.273 ,0.165 ,95.667 ,0.284 ,99.072 ,0.365 ,99.783 ,0.321 ,99.956 ,0.406 
St. Paul,0.7,67.611 ,0.196 ,95.879 ,0.265 ,99.139 ,0.339 ,99.804 ,0.206 ,99.958 ,0.369 
St. Paul,0.8,69.355 ,0.148 ,96.046 ,0.240 ,99.176 ,0.308 ,99.811 ,0.292 ,99.961 ,0.325 
St. Paul,0.9,69.076 ,0.164 ,96.047 ,0.220 ,99.272 ,0.292 ,99.820 ,0.293 ,99.963 ,0.296 
Greenville,0.1,41.897 ,0.055 ,93.274 ,0.087 ,98.212 ,0.015 ,99.565 ,0.094 ,99.900 ,0.089 
Greenville,0.2,72.653 ,0.149 ,96.422 ,0.160 ,99.344 ,0.221 ,99.841 ,0.179 ,99.942 ,0.031 
Greenville,0.3,68.443 ,0.187 ,95.715 ,0.231 ,99.182 ,0.248 ,99.806 ,0.277 ,99.925 ,0.308 
Greenville,0.4,63.223 ,0.224 ,95.394 ,0.288 ,99.134 ,0.316 ,99.821 ,0.357 ,99.923 ,0.403 
Greenville,0.5,61.728 ,0.283 ,95.250 ,0.289 ,99.095 ,0.318 ,99.782 ,0.347 ,99.920 ,0.414 
Greenville,0.6,61.789 ,0.264 ,95.141 ,0.267 ,99.119 ,0.365 ,99.789 ,0.304 ,99.925 ,0.372 
Greenville,0.7,64.435 ,0.274 ,95.285 ,0.277 ,99.146 ,0.294 ,99.793 ,0.310 ,99.919 ,0.355 
Greenville,0.8,65.690 ,0.265 ,95.707 ,0.264 ,99.193 ,0.276 ,99.824 ,0.289 ,99.922 ,0.327 
Greenville,0.9,65.560 ,0.179 ,95.854 ,0.246 ,99.257 ,0.250 ,99.861 ,0.261 ,99.928 ,0.289 
