Location,rho,N=11 (Time Saving),N=11 (MPRE),N=12 (Time Saving),N=12 (MPRE),N=13 (Time Saving),N=13 (MPRE),N=14 (Time Saving),N=14 (MPRE),N=15 (Time Saving),N=15 (MPRE),N=16 (Time Saving),N=16 (MPRE),N=17 (Time Saving),N=17 (MPRE),N=18 (Time Saving),N=18 (MPRE),N=19 (Time Saving),N=19 (MPRE),N=20 (Time Saving),N=20 (MPRE)
St. Paul,0.1,66.2,0.05,70.1,0.06,74.3,0.08,76.5,0.08,77.2,0.09,78.7,0.11,79,0.11,79.6,0.13,80.9,0.13,82.2,0.14
St. Paul,0.2,66.5,0.07,71.2,0.11,76.6,0.13,78.8,0.11,79.4,0.12,81.6,0.18,82.1,0.16,82,0.22,83.3,0.18,84.8,0.19
St. Paul,0.3,65.7,0.1,71.7,0.11,77.2,0.16,79.3,0.13,81.2,0.14,82.6,0.17,83.3,0.17,83.8,0.17,84.5,0.24,85.5,0.2
St. Paul,0.4,66,0.07,71.9,0.1,77.1,0.18,79.6,0.18,80.9,0.22,83.1,0.17,83.8,0.18,83.8,0.24,85.1,0.2,85.5,0.22
St. Paul,0.5,66,0.05,71.2,0.09,77.1,0.13,79.1,0.19,80.6,0.15,82.6,0.21,83.6,0.23,83.9,0.21,84.6,0.25,85.3,0.19
St. Paul,0.6,65.3,0.08,70.5,0.07,76.6,0.15,79,0.14,80.2,0.15,81.9,0.23,83,0.18,83.1,0.23,84.4,0.2,84.6,0.2
St. Paul,0.7,64.6,0.07,69.9,0.1,75.9,0.12,78.4,0.12,79.7,0.12,81.6,0.16,82.1,0.17,82.7,0.16,83.3,0.21,83.7,0.2
St. Paul,0.8,64.4,0.06,69.4,0.08,75.9,0.1,77.8,0.1,78.7,0.15,80.7,0.14,81.2,0.14,81.7,0.13,82.9,0.18,83.2,0.18
St. Paul,0.9,63.7,0.09,68.9,0.07,74.6,0.12,77,0.12,77.8,0.13,79.6,0.16,80.4,0.15,80.9,0.14,81.8,0.13,82.4,0.13
Greenville,0.1,63.5,0.05,68,0.06,68.7,0.08,72.4,0.05,73.9,0.1,75.1,0.08,75.2,0.07,76.2,0.09,77.8,0.12,79.1,0.13
Greenville,0.2,65.5,0.09,69,0.09,72.4,0.08,75.4,0.11,75.7,0.1,76.7,0.11,78.1,0.17,79.2,0.18,81.1,0.17,82.2,0.16
Greenville,0.3,67.9,0.08,70.6,0.09,73.1,0.09,74.8,0.15,76.7,0.13,77.6,0.16,79.5,0.14,80.8,0.15,82.6,0.21,83.5,0.21
Greenville,0.4,65.5,0.09,70.8,0.12,73.2,0.11,77.3,0.12,78.1,0.15,79.1,0.15,80.2,0.16,81.3,0.16,83.1,0.17,83.9,0.25
Greenville,0.5,65.8,0.11,69.8,0.11,74.4,0.13,75.8,0.12,77,0.15,78.8,0.15,80.3,0.16,80.9,0.15,83.1,0.21,84,0.22
Greenville,0.6,66.7,0.11,68.5,0.09,74,0.09,75.8,0.1,76.2,0.15,78,0.16,80,0.13,78.1,0.18,83.3,0.22,83.5,0.23
Greenville,0.7,64,0.07,68.6,0.11,71.3,0.12,75,0.1,77.1,0.11,77.5,0.12,79.1,0.13,77.2,0.12,82.4,0.17,83,0.17
Greenville,0.8,66.3,0.08,66.1,0.09,71.4,0.09,74.9,0.13,74.9,0.13,77.7,0.09,78.4,0.14,78.9,0.13,81,0.23,82.4,0.17
Greenville,0.9,63.4,0.09,66.3,0.08,72,0.1,73.2,0.1,75.8,0.1,76.6,0.1,78,0.09,78.2,0.14,80.2,0.19,80.1,0.18
